Name	Page Width	Page Height	Columns	Rows	Left Margin	Top Margin	Width	Height	Width plus gap	Height plus gap	Corner type	Radius X	Paper type	Orientation	Half page perf skip	Half page row count	Description	Units
5883 Name Tag - Blue	12240	15840	2	4	1080	1680	5040	3120	5040	3120	0	0	0	1	0	0		1440
5883 Name Tag - Blue	15840	12240	4	2	1680	1080	3120	5040	3120	5040	0	0	0	0	0	0		1440
5895 Name Badge - Blue	12240	15840	2	4	991	840	4860	3360	5400	3600	1	720	0	1	0	0		1440
5895 Name Badge - Blue	15840	12240	4	2	840	991	3360	4860	3600	5400	1	720	0	0	0	0		1440
5896 3-1/2'' Diskette - Blue	12240	15840	3	3	180	720	3960	3960	3960	4320	1	270	0	1	0	0		1440
5897 5-1/4'' Diskette - Blue	12240	15840	2	6	225	1440	5760	2160	6031	2160	1	270	0	1	0	0		1440
5897 5-1/4'' Diskette - Blue	15840	12240	6	2	1440	225	2160	5760	2160	6031	1	270	0	0	0	0		1440
5970 Magenta Fluorescent	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5970 Magenta Fluorescent	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5971 Green Fluorescent	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5971 Green Fluorescent	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5972 Yellow Fluorescent	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5972 Yellow Fluorescent	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5979 Assorted Fluorescent	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5979 Assorted Fluorescent	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5980 Blue Pastel	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5980 Blue Pastel	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5982 Canary Pastel	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5982 Canary Pastel	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
5983 Lavender Pastel	15840	12240	10	3	720	271	1440	3780	1440	3960	1	360	0	0	0	0		1440
5983 Lavender Pastel	12240	15840	3	10	271	720	3780	1440	3960	1440	1	360	0	1	0	0		1440
6490 3-1/2'' Diskette	8.5	11	3	5	0.125	0.5	2.625	2	2.75	2	1	0.125	0	1	0	0		1
